Property name,Property price,Property type,Property area,Property locality/Type (if locality not provided),Property link,Property City
Sarang by Sumadhura Phase 1,₹ 1.64 - 2.6 Cr,2 BHK,"1,225 sq.ft.",2 BHK,https://www.99acres.com/sarang-by-sumadhura-phase-1-whitefield-bangalore-east-npxid-r411425,Bangalore
SM Art,₹ 88.65 L - 1.29 Cr,2 BHK,"1,182 - 1,265 sq.ft.",2 BHK,https://www.99acres.com/sm-art-panathur-bangalore-east-npxid-r396485,Bangalore
Prestige Park Grove,₹ 60.55 L - 6.53 Cr,1 BHK,412 - 424 sq.ft.,1 BHK,https://www.99acres.com/prestige-park-grove-whitefield-bangalore-east-npxid-r410449,Bangalore
Coconut Grove,₹ 41.05 L - 1.09 Cr,Land,"1,200 - 3,175 sq.ft.",Land,https://www.99acres.com/coconut-grove-bannerghatta-road-bangalore-south-npxid-r409297,Bangalore
Green Edge Royal View,₹ 87 L - 1.23 Cr,2 BHK,"1,240 - 1,295 sq.ft.",2 BHK,https://www.99acres.com/green-edge-royal-view-whitefield-bangalore-east-npxid-r396992,Bangalore
Sattva Misty Charm,₹ 35.82 L - 1.3 Cr,1 BHK,551 - 606 sq.ft.,1 BHK,https://www.99acres.com/sattva-misty-charm-kanakapura-road-bangalore-south-npxid-r299863,Bangalore
Prestige Serenity Shores,₹ 70.1 L - 2.93 Cr,1 BHK,412.15 - 568.77 sq.ft.,1 BHK,https://www.99acres.com/prestige-serenity-shores-varthur-bangalore-east-npxid-r413985,Bangalore
Sobha Brooklyn Towers,₹ 1.53 - 2.81 Cr,1 BHK,287 - 292 sq.ft.,1 BHK,https://www.99acres.com/sobha-brooklyn-towers-hosur-road-bangalore-south-npxid-r385301,Bangalore
Monarch Aqua,₹ 98.61 L - 1.43 Cr,2 BHK,"1,110 - 1,291 sq.ft.",2 BHK,https://www.99acres.com/monarch-aqua-kr-puram-bangalore-east-npxid-r10486,Bangalore
Sanjeevini Srushti,₹ 52 - 70.9 L,2 BHK,"935 - 1,035 sq.ft.",2 BHK,https://www.99acres.com/sanjeevini-srushti-whitefield-bangalore-east-npxid-r386982,Bangalore
Sobha Dream Gardens,₹ 58 - 95.15 L,1 BHK,412 - 461 sq.ft.,1 BHK,https://www.99acres.com/sobha-dream-gardens-thanisandra-bangalore-north-npxid-r319527,Bangalore
Nandi Citadel,₹ 37.5 L - 1.5 Cr,1 BHK,575 - 610 sq.ft.,1 BHK,https://www.99acres.com/nandi-citadel-bannerghatta-road-bangalore-south-npxid-r20444,Bangalore
Avani Abode,₹ 2.11 - 4.21 Cr,4 BHK,"2,478 - 4,945 sq.ft.",4 BHK,https://www.99acres.com/avani-abode-budigere-cross-bangalore-east-npxid-r409396,Bangalore
Assetz Canvas and Cove,₹ 31.8 - 96.5 L,2 BHK,637 - 698 sq.ft.,2 BHK,https://www.99acres.com/assetz-canvas-and-cove-begur-bangalore-south-npxid-r367669,Bangalore
JRC Wild Woods,₹ 1.11 - 2.25 Cr,2 BHK,"1,400 - 1,441.47 sq.ft.",2 BHK,https://www.99acres.com/jrc-wild-woods-sarjapur-road-bangalore-east-npxid-r396695,Bangalore
Trendsquare Ambience,₹ 95 L - 1.23 Cr,2 BHK,"1,195 - 1,235 sq.ft.",2 BHK,https://www.99acres.com/trendsquare-ambience-thanisandra-bangalore-north-npxid-r407378,Bangalore
Trendsquares Ortus 3,₹ 75.76 - 96.43 L,2 BHK,"1,045 - 1,101 sq.ft.",2 BHK,https://www.99acres.com/trendsquares-ortus-3-hebbal-bangalore-north-npxid-r398757,Bangalore
Nava Gokulam,₹ 61.99 - 83.32 L,2 BHK,804 - 937 sq.ft.,2 BHK,https://www.99acres.com/nava-gokulam-horamavu-bangalore-north-npxid-r403035,Bangalore
Abhignas Misty Woods,Price on Request,3 BHK,"2,073 - 2,332 sq.ft.",3 BHK,https://www.99acres.com/abhignas-misty-woods-6th-phase-jp-nagar-bangalore-south-npxid-r369448,Bangalore
Annciya Isha Serene,₹ 72 L,3 BHK,"1,300 sq.ft.",3 BHK,https://www.99acres.com/annciya-isha-serene-attibele-bangalore-south-npxid-r400751,Bangalore
Brigade Calista,₹ 55.75 L - 2.04 Cr,2 BHK,773 - 826.99 sq.ft.,2 BHK,https://www.99acres.com/brigade-calista-budigere-cross-bangalore-east-npxid-r403481,Bangalore
Ecolife Eon Akash,₹ 1.3 - 1.71 Cr,3 BHK,"1,415 - 1,878 sq.ft.",3 BHK,https://www.99acres.com/ecolife-eon-akash-panathur-bangalore-east-npxid-r378411,Bangalore
Assetz Bloom And Dell,₹ 1.8 - 1.98 Cr,3 BHK,"1,292 - 1,356 sq.ft.",3 BHK,https://www.99acres.com/assetz-bloom-and-dell-whitefield-bangalore-east-npxid-r402451,Bangalore
